track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
You Can't Save Me,0.622,0.584,0,-7.891,1,0.122,0.0628,0.000152,0.119,0.545,158.276,not_rap
4th Baby Mama,0.874,0.348,9,-9.643,1,0.0767,0.339,8.6e-06,0.116,0.151,111.98,not_rap
Can I,0.574,0.791,1,-3.752,1,0.11,0.419,0.0,0.0982,0.612,119.537,not_rap
Around Me,0.595,0.18,1,-12.516,1,0.0659,0.576,4.56e-05,0.097,0.119,75.067,not_rap
True Colors,0.624,0.424,1,-8.237,1,0.24,0.286,0.0,0.173,0.584,76.671,not_rap
Thinkin Bout You,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,not_rap
Don't,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,not_rap
While We're Young,0.649,0.791,2,-6.013,1,0.193,0.104,1.97e-06,0.108,0.811,128.023,not_rap
Don't Say,0.772,0.39,7,-8.862,0,0.0586,0.614,0.00181,0.121,0.609,72.993,not_rap
Lifetime,0.475,0.332,0,-11.807,1,0.0563,0.755,1.16e-05,0.114,0.506,111.614,not_rap
oui,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,not_rap
Playing Games (with Bryson Tiller) - Extended Version,0.726,0.408,11,-6.606,0,0.0614,0.603,0.0,0.225,0.459,115.918,not_rap
Love Me,0.569,0.325,7,-9.66,0,0.0376,0.67,0.0,0.141,0.274,122.051,not_rap
Streets,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,not_rap
Back to the Streets (feat. Jhené Aiko),0.865,0.792,4,-4.207,1,0.0677,0.168,1.46e-05,0.107,0.562,101.985,not_rap
Come and See Me (feat. Drake),0.807,0.347,2,-10.275,1,0.0613,0.0548,2.55e-06,0.087,0.0606,84.982,not_rap
Whoa,0.509,0.514,10,-11.283,1,0.123,0.121,0.00144,0.104,0.476,188.019,not_rap
Her,0.676,0.5,1,-6.603,1,0.0513,0.00371,0.00278,0.114,0.0742,90.03,not_rap
Lullaby,0.849,0.19,7,-9.628,1,0.0447,0.549,0.00229,0.102,0.203,113.955,not_rap
Summer 2020,0.401,0.485,6,-10.787,0,0.216,0.831,0.000292,0.0907,0.54,169.949,not_rap
All I Need,0.464,0.547,6,-6.455,0,0.0543,0.538,5.37e-05,0.108,0.277,134.38,not_rap
Good & Plenty,0.658,0.619,9,-7.316,0,0.0772,0.788,0.0667,0.0951,0.354,136.077,not_rap
Letter To Ur Ex,0.69,0.494,6,-7.41,0,0.0378,0.572,0.00068,0.129,0.283,79.955,not_rap
Time Machine,0.662,0.516,2,-5.143,0,0.0375,0.0167,0.0003,0.134,0.181,87.099,not_rap
All Pride Aside with Summer Walker,0.643,0.581,8,-6.783,1,0.0565,0.079,0.000133,0.104,0.474,129.925,not_rap
Not Me,0.61,0.478,2,-7.648,0,0.32,0.293,0.000898,0.0963,0.477,171.881,not_rap
My Affection (with PARTYNEXTDOOR),0.632,0.495,7,-8.335,1,0.143,0.333,0.0,0.0941,0.233,77.083,not_rap
Take Care of You (feat. Syd),0.666,0.535,4,-9.033,0,0.112,0.827,0.0228,0.202,0.259,127.029,not_rap
Stole My Love,0.777,0.472,0,-10.24,1,0.0418,0.566,0.0,0.105,0.429,116.059,not_rap
LOST YOU,0.445,0.468,5,-8.106,0,0.0702,0.524,0.000849,0.112,0.444,87.803,not_rap
Give Me Time,0.66,0.648,10,-6.339,0,0.0854,0.444,0.0,0.164,0.309,145.909,not_rap
Juke Jam (feat. Justin Bieber & Towkio),0.505,0.397,5,-9.349,1,0.324,0.716,0.0,0.0853,0.558,95.063,not_rap
Do I Ever (feat. Chris Brown),0.453,0.461,1,-6.387,1,0.0533,0.0319,0.0,0.142,0.414,98.172,not_rap
Wicked Games,0.658,0.591,9,-5.197,1,0.0309,0.00959,5.27e-06,0.325,0.326,114.078,not_rap
Intoxicated Truth,0.685,0.669,1,-6.126,1,0.0355,0.729,8.81e-05,0.112,0.38,110.003,not_rap
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),0.664,0.61,7,-6.432,0,0.339,0.145,0.0,0.097,0.472,76.024,not_rap
Easy,0.722,0.282,5,-7.484,1,0.106,0.373,0.00557,0.147,0.217,91.367,not_rap
How Could I Forget You,0.57,0.411,6,-9.461,0,0.0579,0.655,5.37e-05,0.198,0.441,74.358,not_rap
Letter To Ur N(ex)t,0.49,0.296,2,-10.989,0,0.0985,0.879,0.000141,0.106,0.0971,105.829,not_rap
Waiting For (feat. Jamila Woods),0.738,0.379,2,-11.644,0,0.084,0.201,1.1e-05,0.0806,0.598,122.042,not_rap
atrapada en el cielo,0.402,0.346,2,-9.694,0,0.0436,0.145,0.0,0.104,0.118,137.821,not_rap
Honesty,0.66,0.139,6,-16.339,0,0.0323,0.964,1.1e-05,0.105,0.312,79.975,not_rap
The Worst,0.539,0.414,1,-9.156,0,0.0601,0.253,1.3e-06,0.143,0.123,94.895,not_rap
Doing It Wrong,0.397,0.172,6,-15.698,0,0.0445,0.841,6.78e-05,0.108,0.123,101.275,not_rap
Nights Like This (feat. Ty Dolla $ign),0.61,0.725,8,-5.131,1,0.15,0.367,0.0,0.154,0.291,146.163,not_rap
Clear My Mind,0.592,0.411,11,-8.459,0,0.307,0.481,0.0,0.101,0.0649,135.905,not_rap
Girl Like Me (feat. H.E.R.),0.5,0.638,6,-4.007,0,0.0756,0.66,0.0,0.366,0.698,81.145,not_rap
Wylin',0.497,0.489,4,-7.849,0,0.0413,0.111,0.00167,0.0912,0.0348,163.814,not_rap
More Than Enough,0.648,0.531,2,-5.886,0,0.0345,0.26,0.000897,0.12,0.253,143.008,not_rap
"CINDERELLA, Pt. 2",0.58,0.317,6,-10.769,1,0.137,0.489,3.45e-06,0.112,0.338,176.959,not_rap
Touch & Go,0.663,0.506,8,-10.873,0,0.0461,0.438,1.01e-05,0.104,0.214,132.03,not_rap
Easily,0.773,0.256,7,-8.545,0,0.0481,0.491,0.00612,0.144,0.357,118.893,not_rap
Wicked Games,0.789,0.435,1,-7.042,0,0.0599,0.447,0.0,0.135,0.456,72.973,not_rap
LANSDOWNE,0.569,0.376,9,-6.622,1,0.121,0.675,0.498,0.111,0.312,80.099,not_rap
Killing Me,0.432,0.401,11,-8.381,0,0.0582,0.469,0.0,0.137,0.23,158.274,not_rap
MUTUAL FRIEND,0.537,0.349,11,-7.818,1,0.0358,0.79,0.0,0.094,0.388,99.762,not_rap
Best Part (feat. H.E.R.),0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24,not_rap
What A Lie,0.636,0.567,1,-7.344,1,0.0745,0.568,1.4e-05,0.131,0.282,125.457,not_rap
In The Way,0.426,0.529,6,-9.579,0,0.252,0.0424,2.23e-05,0.115,0.276,90.028,not_rap
Wake Up Love,0.583,0.766,11,-4.743,0,0.405,0.502,1.79e-06,0.159,0.203,131.374,not_rap
Dead To Me,0.526,0.347,7,-10.333,1,0.13,0.694,0.000251,0.112,0.344,115.219,not_rap
Think About Me,0.549,0.294,7,-10.2,1,0.048,0.0606,0.792,0.0933,0.11,105.03,not_rap
Blue Lights,0.692,0.57,7,-8.077,1,0.185,0.666,0.0,0.107,0.309,91.917,not_rap
