track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Major Distribution,0.908,0.546,8,-10.491,0,0.323,0.0127,0.0,0.0707,0.225,131.016,rap
10 Freaky Girls (with 21 Savage),0.81,0.353,6,-9.931,0,0.31,0.588,0.0,0.102,0.0727,88.031,rap
Privileged Rappers,0.934,0.614,5,-7.384,1,0.198,0.00274,0.0,0.123,0.616,144.045,rap
Runnin,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,rap
Mr. Right Now (feat. Drake),0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,rap
Roll A opp,0.74,0.495,6,-12.981,0,0.407,0.0977,0.000495,0.226,0.491,141.944,rap
Yessirskiii,0.895,0.739,8,-6.633,1,0.283,0.0183,7.61e-06,0.102,0.763,140.007,rap
Spin Bout U,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,rap
ball w/o you,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,rap
Hours In Silence,0.501,0.403,6,-11.106,0,0.119,0.234,0.0,0.267,0.111,118.352,rap
X (feat. Future),0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,rap
Glock In My Lap,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,rap
Pussy & Millions (feat. Travis Scott),0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,rap
Immortal,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,rap
3AM on Glenwood,0.475,0.692,1,-8.327,1,0.398,0.0533,6.49e-06,0.18,0.241,181.167,rap
Ghostface Killers (feat. Travis Scott),0.782,0.435,2,-7.033,1,0.156,0.333,1.31e-05,0.342,0.242,82.996,rap
Slidin,0.774,0.706,2,-6.494,1,0.355,0.00163,1.28e-06,0.104,0.382,152.891,rap
No Heart,0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.678,140.063,rap
Bartier Cardi (feat. 21 Savage),0.908,0.524,1,-7.955,1,0.181,0.00111,0.000678,0.383,0.109,138.015,rap
No Opp Left Behind,0.823,0.703,8,-2.691,1,0.298,0.0161,1.35e-06,0.294,0.26,178.043,rap
The Race - Remix,0.75,0.548,9,-6.288,1,0.358,0.00619,0.0,0.156,0.377,160.084,rap
can't leave without it,0.872,0.591,6,-6.952,0,0.359,0.111,0.0,0.144,0.696,131.982,rap
Don't Come Out The House (with 21 Savage),0.87,0.35,1,-6.082,1,0.277,0.00661,0.000483,0.108,0.175,74.963,rap
all my friends,0.713,0.62,0,-4.513,1,0.0422,0.171,1.16e-06,0.118,0.206,130.09,rap
Legacy (feat. Travis Scott & 21 Savage),0.844,0.513,1,-8.769,1,0.335,0.178,0.0,0.0845,0.344,128.085,rap
Rap Saved Me (feat. Quavo),0.845,0.399,1,-7.509,1,0.312,0.00525,0.741,0.102,0.148,143.049,rap
monster,0.89,0.607,9,-6.916,0,0.124,0.158,0.000228,0.118,0.224,134.022,rap
My Dawg,0.831,0.532,0,-5.319,0,0.301,0.0652,0.0,0.464,0.364,140.105,rap
Wish Wish (feat. Cardi B & 21 Savage),0.861,0.666,8,-5.18,0,0.343,0.00218,0.0,0.272,0.853,145.041,rap
Sneakin’,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011,rap
My Choppa Hate Niggas,0.862,0.274,0,-5.818,0,0.416,0.0974,0.185,0.183,0.154,77.492,rap
"No More (feat. Travis Scott, Kodak Black & 21 Savage)",0.636,0.501,11,-7.26,0,0.329,0.413,0.0,0.339,0.196,82.309,rap
Numb,0.839,0.436,5,-11.344,0,0.285,0.0438,2.7e-06,0.131,0.464,82.009,rap
out for the night - part 2,0.593,0.632,6,-5.381,0,0.541,0.0133,0.0,0.64,0.0789,173.369,rap
Offended (feat. Young Thug & 21 Savage),0.92,0.53,4,-7.399,0,0.341,0.187,0.0,0.103,0.363,123.968,rap
Savage Mode,0.782,0.359,0,-9.335,0,0.283,0.199,0.00105,0.106,0.0708,143.041,rap
Mad Stalkers,0.9,0.365,10,-6.395,0,0.236,0.147,0.185,0.179,0.136,135.004,rap
1.5,0.885,0.52,1,-8.353,1,0.359,0.000244,1.16e-06,0.454,0.306,84.022,rap
Red Opps,0.703,0.709,9,-6.452,1,0.402,0.00908,0.0,0.127,0.569,140.998,rap
No Advance,0.829,0.357,1,-11.543,1,0.28,0.104,8.35e-05,0.0799,0.0391,108.09,rap
Disrespectful,0.799,0.381,1,-7.147,1,0.465,0.354,3.11e-06,0.135,0.0488,158.021,rap
Ocean Drive,0.764,0.525,4,-7.486,0,0.181,0.126,0.000545,0.116,0.136,137.984,rap
Princess Diana,0.902,0.733,9,-4.056,1,0.164,0.289,0.0,0.085,0.821,147.977,rap
Tomorrow 2 (with Cardi B),0.791,0.818,0,-3.93,1,0.406,0.0695,0.0,0.114,0.693,159.922,rap
Anxiety,0.951,0.766,8,-4.65,0,0.259,0.233,0.0,0.118,0.686,126.989,rap
Body Bag,0.858,0.622,7,-4.413,1,0.266,0.515,0.0,0.146,0.517,85.054,rap
Don't Worry Bout It,0.895,0.805,10,-5.578,0,0.0486,0.00194,0.0,0.113,0.318,140.986,rap
Texture,0.846,0.602,10,-8.008,0,0.201,0.017,7.55e-06,0.187,0.16,140.099,rap
M.A.B,0.858,0.828,0,-4.16,1,0.103,0.00662,0.0,0.613,0.579,150.045,rap
